Movie Name,Release Date,Verdict,Adjusted Net Gross,Genre,Runtime,Ratings,Budget,Production Banner,Actors,Director
Hum Aapke Hain Koun..!,1994-08-05,All Time Blockbuster,7112925540.0,Drama,206 min,75.05% (211 Ratings),62500000.0,Rajshri Productions Pvt. Ltd.,"['Madhuri Dixit', 'Salman Khan', 'Mohnish Bahl', 'Renuka Shahane']",Sooraj Barjatya
Dilwale Dulhania Le Jayenge,1995-10-20,All Time Blockbuster,4613371070.0,Love Story,189 min,78.33% (87 Ratings),40000000.0,Yash Raj Films,"['Shahrukh Khan', 'Kajol', 'Amrish Puri', 'Farida Jalal']",Aditya Chopra
Raja Hindustani,1996-11-11,All Time Blockbuster,3940565750.0,Love Story,171 min,57.12% (85 Ratings),57500000.0,Cineyug Films Pvt. Ltd.,"['Aamir Khan', 'Karisma Kapoor', 'Suresh Oberoi', 'Johny Lever']",Dharmesh Darshan
Border,1997-06-13,All Time Blockbuster,3566272110.0,Action,176 min,65.56% (36 Ratings),100000000.0,J.P. Films,"['Rakhee', 'Sunny Deol', 'Jackie Shroff', 'Suneil Shetty']",J.P. Dutta
Kuch Kuch Hota Hai,1998-10-16,All Time Blockbuster,3429229860.0,Love Story,185 min,70.80% (224 Ratings),100000000.0,Dharma Productions Pvt. Ltd.,"['Shahrukh Khan', 'Kajol', 'Rani Mukherjee', 'Farida Jalal']",Karan Johar
Karan Arjun,1995-01-13,Blockbuster,2876733210.0,Action,167 min,78.21% (39 Ratings),60000000.0,Filmkraft Pvt. Ltd.,"['Rakhee', 'Salman Khan', 'Shahrukh Khan', 'Kajol']",Rakesh Roshan
Dil To Pagal Hai,1997-10-31,Blockbuster,2838169040.0,Love Story,175 min,57.48% (206 Ratings),90000000.0,Yash Raj Films,"['Madhuri Dixit', 'Shahrukh Khan', 'Karisma Kapoor', 'Farida Jalal']",Yash Chopra
Hum Saath Saath Hain,1999-11-05,Blockbuster,2742576060.0,Drama,177 min,72.15% (79 Ratings),170000000.0,Rajshri Productions Pvt. Ltd.,"['Salman Khan', 'Karisma Kapoor', 'Saif Ali Khan', 'Tabu']",Sooraj Barjatya
Mohra,1994-07-01,Blockbuster,2068328190.0,Action,162 min,90.00% (12 Ratings),37500000.0,Trimurti Films Pvt. Ltd.,"['Naseeruddin Shah', 'Akshay Kumar', 'Suneil Shetty', 'Raveena Tandon']",Rajiv Rai
Raja,1995-06-02,Blockbuster,2051017590.0,Drama,151 min,60.00% (4 Ratings),42500000.0,Maruti Films,"['Sanjay Kapoor', 'Madhuri Dixit', 'Mukesh Khanna', 'Dalip Tahil']",Indra Kumar
